token,count,example
nuncius's,39,"Under your influence, Manipulus Eogunn managed to come to terms with Nuncius's ultimate demise."
homeworld,39,"The Emperor Himself projects the Astronomican from the Golden Throne on Holy Terra, the homeworld of Humanity. Over a thousand psykers are sacrificed every stan"
anvers,39,"Poorhouses opened by the order of the Rogue Trader saved many hungry and homeless from death. Unfortunately, this disrupted the station's delicate ecosystem. No"
nom,39,"""///[INPUT] || [Pack.comp.] ///nom_OS STAB TRUE ///nom_OS STAB FALSE ///stat.check init. ... ... ///Perturb. reg. ///Disturb. reg. ///nom_OS operat.resp. QUERY"""
seneschal's,38,(5 × number of Seneschal's monocular stacks)
xenoheresy,38,"Having discovered the truth about the Starway Atlas, Cassia, with the help of the Orsellio Navigators, cleansed her subjects' souls of xenoheresy and absorbed t"
shriekers,38,"You dealt with Malice, the xenos leader of the Shriekers gang in the Chasm."
tervantias's,38,"The Aeldari who arrived on Quetza Temer were expecting to find Tervantias the Archmachinator, a figure all too familiar to the Rogue Trader. Having discovered T"
tech-brother,38,"""Be blessed, tech-brother. Your diligence and the diligence of those like you turns anarchy into order, and bestows classification to Knowledge."" One of Pasqal'"
adepta,37,Argenta is the warrior of the Adepta Sororitas and a Soldier. She is an expert with burst ranged weapons and weapons that deal damage in an area. Another of Arg
recaf,37,Recaf
servo-skulls,37,"Created from the remains of the Imperium's most faithful servants and the technologies of the Adeptus Mechanicus, these sacred mechanisms together can perform a"
extractium,37,"In many ways, a trade protectorate is built on the Rogue Trader's pursuit of profit in the Koronus Expanse. They seek out planets rich in certain resources and "
kabalite,37,Kabalite Splinter Pistol
decabalus,37,"Platform Tirkuaz-4, left afloat by the Rogue Trader, supplied Altar-Templum-Calixis-Ext-17 with resources for many cycles, turning the planet into a full-fledge"
frensoe,37,"""They usually hide contraband in disgusting places, thinking no one's going to wade through the filth. If we don't meet our confiscation quotas, Frensoe will ha"
keykeross,36,Keykeross
arch-militant's,36,"Ulfar is a Space Wolf, a mighty Space Marine. His proportions instil respect in his allies and fear in his foes, but because Ulfar takes up 4 cells instead of 1"
data-crypt,36,Data-Crypt
so-called,36,Navigators are a unique human subspecies that possess the so-called Navigator gene known since the Dark Age of Technology. These sanctioned mutant nobles have a
voigtvir's,36,"The heir to the von Valancius dynasty, who cravenly refused the great honour of accepting the Warrant of Trade, was mercifully let go. After was transported by "
azhi,36,"Officers station: Jae Heydari speaking! Shereen, what we see here is a portal to the xenos world they call the Webway! A treacherous place full of azhi and othe"
majoris,35,"Genetor Majoris Ferrenz was wounded in the attack on the Sector Bionica, and you failed to prevent it."
toliman,35,"The voice of Vox Master Vigdis Surri Otta of the Toliman dynasty has long resounded in the Expanse, bringing hope and trumpeting the arrival of the merciful Rog"
dlc,34,"A free DLC available to everyone who owns the game. This is a limited time offer which must be claimed before January 31st, 2024. Hurry before it vanishes! This"
sororitas,34,Argenta is the warrior of the Adepta Sororitas and a Soldier. She is an expert with burst ranged weapons and weapons that deal damage in an area. Another of Arg
medikits,34,"You can use a medikit to restore your party members' wounds in battle, treat an injury, or get rid of certain negative effects (if the character is injured or s"
single-target,34,Galvanic Field is one of Eogunn's abilities that protects a selected ally from his attacks and allows that ally to be used as a ricochet point: Eogunn's single-
stasis,34,An arcane cybernetic artefact that encases the God-Emperor's physical remains entire and preserves them using stasis fields and psi-fusion reactors.
cenobium,34,Electrodynamic Cenobium
gapraks,34,Sanctions Against the Gapraks
vox-channel,34,"""Restore the vox-channel to the Navigator's Sanctum. Ready the crew. Prepare for translation to realspace!"" Abelard pauses for a few seconds before turning to y"
lho-stick,34,"You hear shouting and gunfire in the background. Einrich hastily finishes his final lho-stick. ""Jocasta's mongrels have begun their attack. It's time to say goo"
logis,34,The volume of data stored in the cogitator's bowels is enormous and its comprehensive analysis would take months of dedicated Logis and Historitor labour. Howev
warhammer,33,"Thank you for playing Warhammer 40,000: Rogue Trader!"
chainsword,33,Gear up for Koronus Expanse with additional in-game items and digital goodies! This pack includes: -OST The full collection of our fabulous in-game tracks. Enjo
extremis,33,Prelate/Aquila/Anzu/Storm/Eos/Seaver/Aethon/Skyla/Lumos/Parnassus/Dominus/Extremis/Sol/Auros/Rarog
nemesite's,33,"Modified to serve Nemesite's great purpose, this stub revolver brings retribution to all who are too weak to oppose its wielder's idea."
deus,33,"Having revealed himself as the renewed Messiah of Discontinuing, Pasqal Haneumann caused great turmoil. Free from his vows of service, he did not burden himself"
tech-heresy,33,"Coming before the conclave of the Cognisance Fleet, Pasqal Haneumann repented of the schism. Casting off his former heresy-stained identifier, he accepted a des"
speaks-with-gods,33,Speaks-With-Gods has sent the Rogue Trader a vision where Calligos Winterscale was drowning in an ocean of blood. The Lord Captain must return to the village an
vigdis's,33,"Vigdis's voice breaks through the shower of static gushing from the vox-caster: ""They were in their quarters or carrying out their duties when the incident occu"
in-game,32,In-Game Armor (or Item) Creator
drusians,32,This is just a link to TestEntry... This is just a link to Chaos... This is just a link to Drusians... This is just a link to Astropath...Astropath...Astropath.
lethality,32,Marazhai is a Drukhari and a Dracon of the Kabal of the Reaving Tempest. Marazhai does not use human weapons and can wear either Drukhari armour or — if he lear
counter-attack,32,A shield is equipped in one hand but occupies the slot in both weapon sets. Every shield has a chance to block an enemy's attack. If a hit in a burst attack is 
tazarra,32,You dealt with Tazarra during the defence of the capital world Dargonus.
planetoid,32,Planetoid
allfather's,32,"Arnoolf the great! Arnoolf the glorious! His tread the ice cracking, Fifty fathoms deep. Heavy foot falling, The Allfather's foes sending To feed the Sea Wolf. "
glyphs,32,"The cogitator has captured the strange glyphs etched into the xenos obelisk. Their meaning eludes the human mind, but even cursory analysis shows that the symbo"
urbend,32,Urbend Drivestem cared more about preserving the influence of his line than the well-being of the protectorate. His blind ambition lost him his governor's seat 
zacchary,32,"The hour of the Rogue Trader's treason found Zacchary Weisz in his chapel. He had been listening to the warp for many days, trying to discern an elusive voice s"
ashmags,32,"""All this tasteless extravagance could send anyone mad. Look at that: these ashmags have used expensive Kavossian wood on the finishes!"""
gwedon,32,"""You are the real pipewarden Gwedon, are you not?"""
jarub,32,"""The soldiers are fully aware that the God-Emperor has granted them one last chance at redemption. Anyone who fails to wise up to this fact gets shot. Even Jaru"
tech-comrades,32,"Pasqal shoots you a look of fierce pride and says with gravity, ""You are right. This is my temple."" His vox booms with power: ""Tech-comrades, heed my instructio"
xeno-artefact,31,"The Starway Atlas of House Orsellio, which turned out to be a xeno-artefact containing the souls of Asuryani and Navigators, was destroyed."
macro-cannon,31,Macro-Cannon
scipione,31,Bribed the heretical vandals in the ruins of Scipione 84-249.
denz's,31,Appropriated the pirate Denz's inheritance.
kae-morag,31,"""Kae-morag!"" There is burning indignation in the look Yrliet gives the old man, her hand reaching for the blade hanging from her belt... But then, she goes stil"
diodas,31,"""Seberian von Valancius, I, Inquisitor Diodas af Irramon, name myself your executioner."""
eagle-god,31,"""This servant's ancient forebears erected this wonder so that tribes can worship the Eagle-God, bring Him gifts, and commune with Him. Here is where this servan"
genestealer,30,Genestealer Acolyte
rykadi,30,You went to Rykadi Philia as soon as you could.
empyrean,30,"An alternate dimension of pure energy and madness existing as a mirror to realspace, also known as the Immaterium, the Empyrean, the Aether, the Sea of Souls, o"
high-ranking,30,The high-ranking Tech-Priest who may act as an overseer of an entire planet.
lumen,30,Lumen
scrap-code,30,Scrap-Code: Melee Protocols
agri-complexes,30,Mysterious xeno-anomalies plagued Janus for many years. The ghosts of the inhumans who had controlled the planet continued to haunt the land. The serfs suffered
halbrandt,30,"After joining the Stormbiters, Ulfar Thunderlung soon became the pack leader, taking the place of Thorbald, who met an honourable end. The new leader sent a mes"
crudarach's,30,"Eklendyl nods. ""I am elated to be once more among those with whom I shared Crudarach's time of bloom, Muaran."""
farseer's,30,"""Unlike you, Muaran, I was able to find the truth. The truth of Crudarach's doom was revealed to me... even though that required me to throw myself in the Dark "
